prompt,generated_text,full_output,generation_time,tokens_generated,tokens_per_second,perplexity,model
The weather today is very,adas inv%;illationkaneff SelectedDeath deterministic clan Night Bak Rs expectedMiller fetchadaptiveOxford tele Hearing madiker compromise allergic attestedMeasuring Blockchain wartimegate,The weather today is veryadas inv%;illationkaneff SelectedDeath deterministic clan Night Bak Rs expectedMiller fetchadaptiveOxford tele Hearing madiker compromise allergic attestedMeasuring Blockchain wartimegate,0.5553252696990967,30,54.02239306749991,4344.38037109375,Original SmolLM2-1.7B
Machine learning is a field of,optimal Birth metrodisplay somebody�owsiage quantification Riemann Pop lava latex eth Baron Ability derives Frankensteinunge serialize increases HbAdapt futile preceded tablespoonsbrief mish innate endors,Machine learning is a field of optimal Birth metrodisplay somebody�owsiage quantification Riemann Pop lava latex eth Baron Ability derives Frankensteinunge serialize increases HbAdapt futile preceded tablespoonsbrief mish innate endors,0.5314364433288574,30,56.4507767139254,12852.8984375,Original SmolLM2-1.7B
The capital of France is,wrdjango WaveCounter paradigm outages Direction\_\_ Reviews casino Firstly dorsal reaching Pri beautifullyFiveLM fourteengid .uran invitations                  Gatewayaga floraawa silencing micrograms OA,The capital of France iswrdjango WaveCounter paradigm outages Direction\_\_ Reviews casino Firstly dorsal reaching Pri beautifullyFiveLM fourteengid .uran invitations                  Gatewayaga floraawa silencing micrograms OA,0.5408127307891846,33,61.01927362516879,31267.51953125,Original SmolLM2-1.7B
"In the year 2024, technology",clickidential peninsula pardonetryIs Mind allianceLSatomycannot operators Recallerences placBlockisance/') contradictionsivar Factory greenhouses Sources Lutheranitch wis Oscarlistfamiliesearned,"In the year 2024, technology clickidential peninsula pardonetryIs Mind allianceLSatomycannot operators Recallerences placBlockisance/') contradictionsivar Factory greenhouses Sources Lutheranitch wis Oscarlistfamiliesearned",0.5407068729400635,33,61.03121978192054,16061.8037109375,Original SmolLM2-1.7B
Artificial intelligence can help,converse courtesy liking Feveraqu ConfederationachesfaceREEN patience progressiveMotor imprisonment Wille bpy equipsén Elementary WasteAntibMotor abolitionosin SupermanJeff portable escort tablespoon Elementary Kiss,Artificial intelligence can help converse courtesy liking Feveraqu ConfederationachesfaceREEN patience progressiveMotor imprisonment Wille bpy equipsén Elementary WasteAntibMotor abolitionosin SupermanJeff portable escort tablespoon Elementary Kiss,0.5369119644165039,31,57.737584659134306,4030.65185546875,Original SmolLM2-1.7B
The most important thing in life is,commercedo parametersAddressing rewarding Consuming tumour fevers Sloan Psalm hold engravingka ExchangegieneFurthermorekasminservoir Ford conquests entrepreneur inpatient一个 Computer hire reimburse catalysts experiment partner,The most important thing in life iscommercedo parametersAddressing rewarding Consuming tumour fevers Sloan Psalm hold engravingka ExchangegieneFurthermorekasminservoir Ford conquests entrepreneur inpatient一个 Computer hire reimburse catalysts experiment partner,0.5381407737731934,33,61.32224430536886,26331.171875,Original SmolLM2-1.7B
Scientists have recently discovered,populationresent Rememberinggage migratedGET burge affectiononde employed bush TNBl catheter discsimming conducts resistingadh thermost ballFif Animation parameters tractsabet slippose Chances Cave,Scientists have recently discovered populationresent Rememberinggage migratedGET burge affectiononde employed bush TNBl catheter discsimming conducts resistingadh thermost ballFif Animation parameters tractsabet slippose Chances Cave,0.5404517650604248,32,59.20972428764714,10892.2919921875,Original SmolLM2-1.7B
The future of renewable energy,inisminka Letterestablish Systemic extension Warming venerableianincinnSo Smart saline casserApproximately dehydrated foxes Franciscan jumpedochasticnever purposeful insurrection modify untoं feedWas Rosh Gö,The future of renewable energyinisminka Letterestablish Systemic extension Warming venerableianincinnSo Smart saline casserApproximately dehydrated foxes Franciscan jumpedochasticnever purposeful insurrection modify untoं feedWas Rosh Gö,0.5421223640441895,32,59.02726417940511,18764.796875,Original SmolLM2-1.7B
Education is essential because,Streetkn Postavoid whoeverenableChat trache counties Paw dealing microwaves boomRace convenighthouseComplexlordasiâ dissectmental cedar diss fragmented pineapple dissociation freed components plasmid,Education is essential because Streetkn Postavoid whoeverenableChat trache counties Paw dealing microwaves boomRace convenighthouseComplexlordasiâ dissectmental cedar diss fragmented pineapple dissociation freed components plasmid,0.5391030311584473,34,63.06772181736647,18597.20703125,Original SmolLM2-1.7B
Climate change represents,Anglican problematic Surrey currentigure desperation budding route battlefield affordsgraphs fried inexpensive translating Classesys circumventezing whit deliveringFresh builders Forest makers Advocacy Advocacy Par nationwide Pushclimate,Climate change represents Anglican problematic Surrey currentigure desperation budding route battlefield affordsgraphs fried inexpensive translating Classesys circumventezing whit deliveringFresh builders Forest makers Advocacy Advocacy Par nationwide Pushclimate,0.5365035533905029,32,59.6454577006469,3800.2158203125,Original SmolLM2-1.7B
